ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2888131,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,44,Tin Alley-Swanston St (West),4
2888132,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,35,Southbank,95
2888133,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,45,Little Collins St-Swanston St (East),185
2888134,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,46,Pelham St (S),0
2888135,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,47,Melbourne Central-Elizabeth St (East),139
2888136,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,48,QVM-Queen St (East),21
2888137,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,49,QVM-Therry St (South),67
2888138,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,50,Faraday St-Lygon St (West),9
2888139,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,51,QVM-Franklin St (North),19
2888140,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,52,Elizabeth St-Lonsdale St (South),131
2888141,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,54,Lincoln-Swanston(West),22
2888142,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,55,Elizabeth St-La Trobe St (East),208
2888143,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,56,Lonsdale St - Elizabeth St (North),32
2888144,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,57,Bourke St Bridge,9
2888145,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,58,Bourke St - Spencer St (North),87
2888146,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,59,Swanston St - RMIT Building 80,2
2888147,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,61,Swanston St - RMIT Building 14,31
2888148,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,62,La Trobe St (North),40
